|为什么一直退款中啊，都一周了@百度糯米
|同样遭受过百度糯米团脑残的飘过～～
|回复@百度糯米客服小糯:第一次在百度糯米上团东西，竟然是这种结果，太令我失望
|回复@那只it狗:大众跟百度糯米的简直想吐//@那只it狗:懂得做好客户端的团购已经赢了一半
|在猫眼买呀。百度糯米太不靠谱了。3个小时的电影，已给差评，
|垃圾的客户端 好好个糯米网让百度作死的节奏 祝早日倒闭
|对@百度糯米 说：眼里只有商业利益，一而再的袒护和包庇不良商家，罔顾普通用户的正当合法权益。强烈不满和质疑百度糯米的客户投诉服务机构及机制。希望您能直接联系我并过问此事！同时，我会直接向消费者协会及工商部门投诉反映。坚决维权到底！西安15319778976雷
|我也是醉了～[怒骂]再不信百度糯米！！！！！
|所以百度糯米团购是在吃屎？
|@百度糯米 太垃圾啦！@315在线投诉 @cctv315
|百度糯米这是要虐我的节奏啊！我不会放过你的！[lt切克闹]
|糯米团购的确不如大众点评团购，差的不是一星半点。@点评团_北京
|糯米团购的确不如大众点评团购，差的不是一星半点。那个支付方式好像是微信支付和支付宝的关系似的，弱爆了！@点评团_北京 [good]
|糯米网太坏了，，，md
|糯米网就这样被百度干废了
|糯米网跟我有多大仇[好囧][崩溃][悲催]
|被糯米网坑了，风景虽然还行，可东西太尼玛精致了啊！！[衰]后悔没看评论[拜拜] http://t.cn/z8abceu
个别城市无服务|百度糯米这么过分 竟然没有抚州 这么可爱的事情都会有 这么歧视小地方 人家好歹是地级市好吗@百度糯米
使用不方便|真心用不来这个百度糯米 我还是老了 还是直接去电影院抢半价票好伐
侵占用户钱款|@百度糯米 不要脸，用户的钱就这样被它吞了！[怒]
信息不准确|@百度糯米 @百度地图 你们的资料有没有校对过？滨江区下沙新加坡工业园？
删除评论,退款难|百度糯米退钱，拉黑，删评论是什么作为，有本事就出来解决问题！
包庇不良商家,欺骗消费者|对@百度糯米客服小糯 说：眼里只有商业利益，一而再的袒护和包庇不良商家，罔顾普通用户的正当合法权益。强烈不满和质疑百度糯米的客户投诉服务机构及机制。希望您能直接联系我并过问此事！同时，我会直接向消费者协会及工商部门投诉反映。坚决维权到底！西安15319778976雷
包庇不良商家,欺骗消费者|对@百度糯米客服小糯 说：眼里只有商业利益，一而再的袒护和包庇不良商家，罔顾普通用户的正当合法权益。强烈不满和质疑百度糯米的客户投诉服务机构及机制。希望您能直接联系我并过问此事！同时，我会直接向消费者协会及工商部门投诉反映。坚决维权到底！西安15319778976雷
后台下载|我手机里就偷偷摸摸的下载了百度糯米。都三次了！
商品质量差|谁也愿吃出蛆虫，洋垃圾谁还吃呢？百度糯米什么玩意儿？[嘘]
商家倒闭|@百度糯米 真不靠谱！商家都倒闭了也没下架！请朋友吃个饭，结果找了半个小发现商家已经没了！浪费时间浪费钱！真特马的恼火！
商家倒闭|糯米这团购真心不行，今天去吃个自助，门店说没有了，但是糯米上还在挂着，也没下架，郁闷得连吃的心情都没了。感觉糯米不如美团，投再多钱也是徒劳。@百度糯米南宁站
团购券数量少|百度糯米的团票只能买三张，好坑。强烈建议能多买几张。。。谢谢@保利影城江津
团购券无法使用|一点都不开心，买的糯米券，商家不让用，你们又协调不下来。凭啥我要忍气吞声，商家说啥就是啥。@百度糯米 //@百度糯米客服小糯:祝福大家十一快乐~
团购券无法使用|哎。。。今天本来约了去溜冰，去了溜冰场结果工作人员告诉我们这张团购券法定假日不能使用，可是团购信息上完全没写到，写得一点也全面谨慎! ! !@百度糯米上海站
团购券无法使用|在百度糯米团买加乐比游泳票的孩纸们注意了，糯米团的票加乐比不认，今天带孩子过去，他们要我们退票重新买，后来我们坚持很久，他们才同意让我们用糯米团的票。还有，加乐比的水温没有那么热，风还很大，孩子大人都觉得很冷，感觉很容易感冒@乐三明 @三明大街小巷
团购券无法使用|好囧啊！你家在糯米团做的不给力啊！没到期居然就不能用了o(╯□╰)o~@炉边坐火锅餐厅
团购券无法使用|@百度糯米 贵团购的怎么做的，买了个有效期到十一月三十号的仙游团购券，居然不能用，店员说过期了，店员服务态度极差，害我等了大半个小时，一肚子气@莆田小鱼网 @莆田网事 @仙游新闻
坑消费者|糯米网被坑的钱是要不回来了，我的四十多块钱阿，看看那些被坑几百上千的心里稍微庆幸一下，去你妈的搅动优势电子商务，坑我钱的不得好死，问候你祖宗十八代
定位失败|回复@百度糯米客服小糯:连wifi和数据都是定位失败。
客服差|回复@百度糯米客服小糯:我并没有拒接，每次来电都是响一声，要我怎么接[怒]
客服差|回复@百度糯米客服小糯:昨天跟我说正在跟进，今天才问我绑定的电话，请问你们到底有没有在跟进
客服差|我之前已经电话投诉了，事情都过去2个小时了，过节的时间和心情，就被商家和糯米破坏了。@百度糯米客服小糯
客服差|百度糯米客服渣到底，连人工都是就在那背书+浪费你的电话费，半天连问题都不切入，连你要什么都不能理解，或者不想理解……[怒]@百度糯米
客服差|@百度糯米 就是个骗子，一张发票问题客服承诺一套，实际做一套.所说的时效在那.做不要就不要随便给人家承诺@12315网上投诉 .订单号517951118.
客服差|真是被@百度糯米客服小糯 客服水平给跪了。命名花了168元买了个团购餐，被误导而没用代金券，硬要说我只花了159元，9块钱哪里去了，请问？！被蠢哭。。。[泪][泪]
客服差|糯米团工作人员工作态度有问题，垃圾的要死，上了一个做左右我们就下了！
客服差,处理问题效率低|对@百度糯米 说：刘骏刘总：我有极强烈的不满需要向您直接投诉！百度糯米的口号是“省钱更省心”，但我个人连续遭遇到的消费体验却是“生气更伤身”。曾经先后几十次致电百度糯米客服申诉反映，但是期间的经历遭遇只是让人更加“怒不可遏”。感觉百度糯米简直就是“利欲熏心”，
客服差,无法参加活动|这个是大骗子，我新注册的号购买一毛钱汉堡和一毛钱电影票，支付成功之后又显示退款中，致电客服说因为网络延时没有成功生成消费码，所以这单作废。但是，他们后台已显示你参加过这个活动，不能再享有这个新用户权利！！为毛啊！各种和客服理论，说返我20元代金券就完了@百度糯米 就不该给你们宣传！！
客服差,服务差|对@百度糯米客服小糯 说：刘骏刘总：我有极强烈的不满需要向您直接投诉！百度糯米的口号是“省钱更省心”，但我个人连续遭遇到的消费体验却是“生气更伤身”。曾经先后几十次致电百度糯米客服申诉反映，但是期间的经历遭遇只是让人更加“怒不可遏”。感觉百度糯米简直就是“利欲熏心”，
应用不更新|@百度糯米 小糯，wp百度糯米客户端啥时候更新，距上次更新已经是1年多了- -，这是要抛弃wp用户吗？[囧]
强制绑定百度账号|百度糯米真让人伤心。非要跟百度账号绑一起。绑在一起的密保邮箱也不知道是怎么弄上的。邮箱都不是我的。真是郁闷。弄了一晚上也没弄好。直接卸载了百度糯米。ps现在有时候想用谷歌搜索都用不了。只能百度搜索。垄断什么不好。非要在信息的自由度上实现专一。哎。
强制绑定,系统bug|糯米的支付设计真是个奇葩！不知道怎么就绑定了快捷支付,只有在下单支付的时候才能看到,在支付后台完全没显示。这也就意味着你只能绑定,不能取消,如果你的手机丢失或者被盗,那么手机持有者就可以随意刷你的卡,除非你把卡注销了。这么大的问题,难道公司里就没有一个人注意到过吗？@百度糯米 @百度
强制退款|@百度糯米 太不靠谱了，我还没参加过活动呢，居然就给我发这种信息，还给我强制退款，无语！
强行绑定信用卡,客服差|回复@zhailyxz:百度糯米还莫名其妙给消费者信用卡绑定快捷支付，最重要的是无法取消，非得把责任推给一个第三方的回复公司，总之就是不给你解绑。客服态度恶劣，直接挂我的投诉电话，牛逼哄哄的，真是受够百度糯米了。
抢购失败|回复@百度糯米客服小糯:我们好几个人都有抢，点击根本没反应，我还以为死机了，点下面19·9的就可以，这明显你们编程师骗人，失望
支付困难|回复@珂崽儿:绑定手机号之后的新用户用支付宝应该可以啊。。。。我用我手机使了两次新号  和银行卡绑定没什么关系。。那个百度糯米是不行 同一个终端都没法用  银行卡绑定了也没法用  但是美团好像可以埃
支付困难|垃圾的百度，糯米团生生被玩坏了。好好的百度账号一直提示升级，验证手机号，各种无法成功。用老婆手机号绑定了qq号，终于登录上了，结果支付只能使用百度钱包。已经被坑蒙拐骗抢开通了微信钱包，无法忍受再次被qj，果断删掉糯米团，等你做到支付宝级别，把支付宝干掉再求我开通吧 hpwg6.jpg
收不到取票码|媽的到現在還沒收到短信取票碼，百度糯米你可以去死一死了。
无故取消订单|@百度糯米 要你们承认一下是你们公司系统不完善有这么难吗？团了电影票使用了代金劵，无故取消，竟然说我有多个账户不能使用代金劵，难道我的代金劵是偷来的？还是非法操作了~~为什么老是说用户操作不当，不从自己身上找找原因呢？大公司就可以这种态度吗？何况你们的团购还没做到第一啊[拜拜]
无故退单|回复@重庆小城小事:[抓狂][抓狂][抓狂]@百度糯米 不太诚信啦！居然可以悄无声息地自动给用户退单，而理由且那么的牵强？什么限购；违规噢！这些都是他们片面之词，还是真的是商家自己喊输不起了，又或者是商家和糯米网自编自导的团购乌龙。就是为了博眼球，扎人气，这些我们都不好说了撒！[怒]@重庆小城小事 你觉得啦？
无法登陆|一直用美团，最近觉得有点不满意想换百度糯米试试，没想到就登录都那么麻烦，折腾半天都失败了，果断弃了，还是继续美团吧?
无法登陆|为啥不能分享，也不能登录，一毛钱？搞毛啊@百度糯米客服小糯
服务差|今天十一，和亲爱的去天虹看了电影！买电影票的时候遇到了点小波折，糯米团还是一如既往的不靠谱！电影心花怒放！黄勃和徐峥的电影我和亲爱的都爱看！天虹的影院人还是一如既往的少！明和亲爱的去买鞋！后天去梅岭玩！[熊猫][熊猫][熊猫]
服务差|同样是团购，@美团 服务就是那么好，@百度糯米 怎么就那么差啊！抵制#百度糯米#……
服务差|回复@那只it狗:大众跟百度糯米的简直想吐
服务差|对@云云刘骏 说：刘骏刘总：我有极强烈的不满需要向您直接投诉！百度糯米的口号是“省钱更省心”，但我个人连续遭遇到的消费体验却是“生气更伤身”。曾经先后几十次致电百度糯米客服申诉反映，但是期间的经历遭遇只是让人更加“怒不可遏”。感觉百度糯米简直就是“利欲熏心”，
服务差|我觉得@百度糯米 应该更新了！看个电影都还要去安卓机上面订[泪][泪][泪][泪]请求帮忙@windowsphone控 @windowsphone微软中国 @wpdang @wp酷七网 @wp流浪 @wp手机家族 @wp微疯嫯</a>
欺骗消费者|@12315网上投诉 我要百度糯米，欺骗消费者！ http://t.cn/rhgensp
欺骗消费者|回复@tdfsk:他们就是骗子，恶心死了我们要一起组织起来反抗他们 吧大家的遭遇都集合成文章，发到社交网站让大家认清楚他们的真面目，好好看看他们无耻的糯米团购真像
欺骗消费者|回复@废材纲丶:我想问问这个糯米团什么时候把钱还我，他们那么缺钱吗，要这样和店家合起伙来骗我们这几十块钱，这真的是醉了这几十加几十就能让他糯米团走出国门发家致富了吗，一点职业道德都没，什么垃圾糯米团 垃圾中的战斗机
欺骗消费者|回复@百度糯米客服小糯:你们这样和店家合起伙来玩玩我们消费者我们以后怎么还敢来你家消费啊，图我也截出来了，11号那天整理出文章，反正我又的是时间跟你们闹，退款不就完事了吗，我欠你的吗你就那么稀罕我这几十块 ，你们公司那么缺钱吗？缺到要没人骗个十几块才开心就能发家致富走出国门了吗
